UserID,MovieID,Rating
1,914,5
1,2018,4
1,2797,4
1,1270,4
1,1545,4
1,1566,3
1,588,4
1,1907,4
1,2762,4
1,1962,4
1,1028,5
2,3030,4
2,1253,4
2,1259,4
2,1188,4
2,1690,2
2,3654,4
2,2312,4
2,1370,3
2,1801,3
2,590,4
2,593,4
2,95,2
2,1917,3
2,1953,4
2,1124,4
2,165,4
2,2321,4
2,1090,4
2,457,4
2,1527,3
2,3451,4
2,3095,4
2,2728,4
2,1784,4
2,1968,4
2,1246,4
3,648,4
3,1580,4
3,260,5
3,1049,4
3,733,4
3,1198,5
3,1378,4
3,1304,4
3,2617,3
3,2006,4
4,2951,4
4,2028,4
4,3702,4
4,2947,4
5,1175,4
5,1759,4
5,581,3
5,150,3
5,515,3
5,50,4
5,377,2
5,1268,2
5,1912,4
5,2359,4
5,2289,4
5,1704,2
5,1279,4
5,2721,4
5,968,3
5,3020,4
5,318,4
5,176,4
5,461,3
5,608,4
5,1715,3
5,3176,4
5,1719,4
5,1649,4
5,2013,3
5,2952,4
5,3105,2
5,1650,2
5,908,5
5,1653,3
5,2029,4
5,1734,3
5,1884,3
5,1093,2
5,1095,4
5,1966,4
5,32,4
5,3786,4
5,357,3
5,36,3
6,1688,4
6,1188,4
6,588,4
6,1,4
6,2858,3
6,2506,4
6,3600,4
6,3536,4
6,1947,4
6,2966,3
6,1806,3
6,2100,4
6,569,4
6,34,4
7,2916,4
7,589,4
7,2571,4
7,457,4
7,480,4
7,3418,3
8,3148,4
8,150,4
8,1621,4
8,3155,3
8,1120,4
8,161,4
8,1411,4
8,1274,4
8,1704,4
8,465,3
8,1711,4
8,538,4
8,3246,4
8,1213,5
8,3105,4
8,3252,4
8,2023,4
8,2028,5
8,480,4
8,1801,3
8,1730,4
8,3265,4
8,24,3
8,25,4
8,562,4
8,2541,4
8,1678,4
8,282,3
9,3298,3
9,3510,4
9,593,4
9,1777,4
9,745,4
9,3452,3
9,1921,4
9,1358,4
9,1500,4
9,1148,4
9,1653,4
9,2890,3
9,3114,4
9,1089,4
9,3408,4
9,3916,4
9,25,3
9,2324,5
9,349,4
9,3270,3
9,1961,4
10,648,4
10,2628,4
10,3869,3
10,1256,4
10,1831,4
10,589,5
10,2497,4
10,7,5
10,2136,4
10,2138,4
10,1269,5
10,1196,4
10,2716,4
10,596,4
10,597,4
10,1411,4
10,1271,5
10,1278,4
10,745,5
10,318,4
10,2080,5
10,2081,4
10,2087,4
10,2662,4
10,3100,4
10,2302,4
10,186,4
10,2090,4
10,902,4
10,1292,4
10,260,4
10,1371,4
10,913,4
10,1012,4
10,1884,3
10,24,5
10,2324,5
10,1380,4
10,2693,4
10,351,4
10,2405,4
10,2407,4
10,1031,4
10,1104,4
10,364,4
10,3072,4
10,3153,4
10,3591,4
10,1124,4
10,2431,4
10,1704,5
10,3309,4
10,1566,4
10,1203,4
10,1136,4
10,539,5
10,1573,4
10,104,4
10,971,4
10,2018,4
10,2959,4
10,3252,5
10,3255,5
10,2529,4
10,1654,4
10,1220,4
10,1223,5
10,2967,4
10,480,4
10,3408,5
10,2393,5
10,3198,4
10,2033,4
10,2108,4
10,1307,5
10,2470,4
10,203,4
10,2111,3
10,3928,4
10,2047,4
11,1198,5
11,1278,4
11,1358,4
11,2806,2
11,333,4
11,1441,3
11,3552,4
11,2325,3
11,356,4
11,36,3
11,435,2
11,1042,3
11,440,3
11,50,5
11,2359,3
11,2507,3
11,1563,3
11,1498,3
11,3178,3
11,3755,3
11,2959,4
11,3255,4
11,1080,4
11,1089,4
11,2539,3
11,1665,2
11,1307,3
12,1193,4
12,3897,3
12,1641,3
12,1303,4
12,3785,4
13,2640,3
13,1429,3
13,2094,3
13,260,5
13,2686,3
13,21,3
13,1527,3
13,2916,3
13,1610,4
13,50,4
13,1127,3
13,457,4
13,2006,3
13,2871,4
13,1210,4
13,1722,3
13,2028,5
13,480,4
13,3269,3
13,2105,3
13,3418,4
13,2470,3
14,1263,3
14,2243,3
14,1968,3
14,1982,3
14,2396,4
15,3354,3
15,3298,3
15,593,4
15,1777,4
15,2581,3
15,1783,3
15,3535,3
15,2302,4
15,2676,3
15,3113,3
15,2826,3
15,2688,4
15,780,4
15,2908,3
15,3499,3
15,32,3
15,357,3
15,1608,4
15,2268,4
15,1466,4
15,2841,3
15,2770,3
15,3646,3
15,434,3
15,1610,4
15,3145,3
15,3147,4
15,1619,4
15,2278,3
15,2858,4
15,1485,4
15,70,3
15,3753,4
15,2387,3
15,1804,3
15,2391,3
15,2396,3
15,1810,3
15,1672,3
15,1673,3
16,2629,3
16,1911,3
16,2723,3
16,2581,4
16,2699,3
16,2856,3
16,2355,4
17,2554,3
17,1265,5
17,164,4
17,3527,4
17,1428,4
17,750,5
17,2663,4
17,2667,4
17,260,5
17,3114,4
17,1374,5
17,1019,4
17,3700,4
17,924,4
17,2762,5
17,30,4
17,428,4
17,1601,3
17,356,4
17,34,4
17,1396,4
17,866,4
17,3717,3
17,503,4
17,1610,4
17,3070,4
17,2346,3
17,50,5
17,446,4
17,3156,3
17,1129,4
17,76,3
17,1573,3
17,1214,5
17,2455,4
17,1580,4
17,3699,4
17,2613,4
17,3418,4
17,3927,4
17,2117,3
17,2046,4
18,2989,3
18,2622,4
18,2993,4
18,2701,1
18,586,3
18,222,4
18,1408,4
18,1197,5
18,592,4
18,2718,3
18,2573,3
18,302,4
18,2141,4
18,2142,3
18,1274,4
18,2078,4
18,3526,5
18,1784,4
18,2080,5
18,2087,4
18,2089,3
18,3108,4
18,2090,4
18,902,4
18,839,2
18,10,3
18,260,5
18,17,4
18,2248,4
18,919,5
18,778,3
18,412,4
18,2253,2
18,1022,4
18,421,3
18,1968,4
18,2194,5
18,1032,4
18,434,2
18,291,2
18,44,2
18,368,4
18,48,3
18,527,5
18,2291,4
18,1635,2
18,1639,4
18,2000,4
18,2001,3
18,2947,4
18,2948,4
18,466,2
18,2018,4
18,475,5
18,3257,3
18,1805,3
18,2100,4
18,1234,5
18,3418,4
18,2617,3
18,2042,3
19,3421,4
19,1327,3
19,3948,4
19,2139,4
19,1197,5
19,2713,2
19,2716,4
19,2717,4
19,1772,3
19,2649,3
19,741,4
19,1278,4
19,1350,4
19,2080,3
19,2662,4
19,2599,4
19,2160,3
19,1431,3
19,1291,4
19,2094,3
19,2746,3
19,10,4
19,260,5
19,1370,4
19,198,3
19,1373,3
19,3623,4
19,2687,4
19,2321,4
19,1527,4
19,2762,4
19,2195,3
19,368,4
19,377,4
19,2353,4
19,2860,3
19,457,4
19,2002,4
19,3176,3
19,1214,4
19,2888,3
19,2527,3
19,2454,3
19,111,4
19,2600,3
19,3264,3
19,1307,4
19,1097,4
19,3273,2
19,2115,4
19,3928,3
20,589,4
20,2571,5
20,3717,3
20,2858,5
20,2028,4
21,2701,3
21,1,2
21,2355,4
21,2394,3
22,3355,3
22,3868,4
22,1259,4
22,223,4
22,2138,4
22,736,3
22,2717,2
22,230,3
22,1347,3
22,3527,3
22,3388,2
22,3020,3
22,248,3
22,1425,3
22,3535,3
22,1792,3
